video_name,pruning_thresh,jepg_quality,data_size_mean,data_size_std,cpu_cli_mean,cpu_cli_std,cpu_cli_mem_mean,cpu_cli_mem_std,cuda_cli_mem_mean,cuda_cli_mem_std,cpu_edge_mean,cpu_edge_std,cuda_edge_mean,cuda_edge_std,cpu_edge_mem_mean,cpu_edge_mem_std,cuda_edge_mem_mean,cuda_edge_mem_std
b610204c-e3c8c65f,0.05,60,13696.83,1328.2909022875976,79.03773,21.43360997538912,6.519999999999997,2.6645352591003757e-15,71.75679999999998,0.9701431646927174,2.0169799999999998,0.2731764623828342,3.81628,0.04447428020777852,4.8e-06,2.036467529817257e-05,15.755999999999998,0.40450463532572767
b610204c-e3c8c65f,0.05,70,16933.64,1583.7785294667938,79.92981000000002,22.51517682128879,6.519999999999997,2.6645352591003757e-15,71.8766,1.2312402040219446,2.1275099999999996,0.7569066982792528,3.82421,0.030570670584728763,6.2399999999999995e-06,2.4853619454719267e-05,15.843599999999999,0.4947717049306679
b610204c-e3c8c65f,0.05,80,21923.08,1733.4804278099016,81.33151,22.40538228216381,6.519999999999997,2.6645352591003757e-15,71.67859999999999,0.5895710644188707,2.1958100000000003,0.7067313590750025,3.83027,0.03906145286596494,8.400000000000001e-06,2.5484112697914364e-05,15.837800000000005,0.4644966738309326
b610204c-e3c8c65f,0.05,90,31584.75,1872.3951152200755,81.41674,21.215318083696037,6.519999999999997,2.6645352591003757e-15,71.69399999999999,0.7971900651663945,2.23776,0.2892486515093891,3.83472,0.034325524030959835,6e-06,2.6372713171003095e-05,15.861600000000001,0.48094016259821737
b610204c-e3c8c65f,0.05,100,69878.05,3124.8618221451006,85.75334000000002,28.129480419737583,6.519999999999997,2.6645352591003757e-15,71.77539999999999,0.7247888244171544,2.4676500000000003,0.28223707676348975,3.8374699999999997,0.038466727180772736,1.152e-05,3.4693077119217894e-05,15.880800000000004,0.48982788814031386
b4d2dede-18dc0cd0,0.05,60,10704.07,1868.8785420941617,62.30856,16.065685321404747,6.519999999999997,2.6645352591003757e-15,71.75879999999998,0.909075662417601,1.8647999999999998,0.9964764523058235,3.7471400000000004,0.029709264548285267,0.0,0.0,15.799799999999996,0.4539823344580716
b4d2dede-18dc0cd0,0.05,70,13406.02,2252.26279097267,61.65573000000001,13.046026371163753,6.519999999999997,2.6645352591003757e-15,72.03299999999999,1.4246666276711903,1.7575900000000002,0.3186052446209886,3.7482800000000003,0.02801109780069319,0.0,0.0,15.784599999999996,0.42810143657782834
b4d2dede-18dc0cd0,0.05,80,17468.77,2525.723250298813,63.74716,15.331910590477625,6.519999999999997,2.6645352591003757e-15,71.63239999999998,0.5362035434422276,1.8976199999999996,0.7699131870542288,3.7520599999999997,0.03862196784214909,2.4000000000000003e-07,2.3879698490558873e-06,15.819699999999997,0.4806546681350349
b4d2dede-18dc0cd0,0.05,90,25574.68,2650.840070166437,63.81238999999999,16.570568329357325,6.519999999999997,2.6645352591003757e-15,71.76419999999999,0.9798746654547206,1.87848,0.25401182964578634,3.75192,0.03610808219775732,0.0,0.0,15.8363,0.4655655807724625
b4d2dede-18dc0cd0,0.05,100,58439.86,3535.308229900188,65.83705,17.76993701754455,6.519999999999997,2.6645352591003757e-15,71.61359999999999,0.42500239999322387,2.23203,0.6994406544518269,3.7538199999999993,0.03314977526318992,2.4000000000000003e-07,2.3879698490558873e-06,15.772199999999998,0.4329632316952565
b69d5b1d-03bd6daa,0.05,60,12631.68,3743.508418262206,72.99275,21.571233288050546,6.519999999999997,2.6645352591003757e-15,71.97799999999998,1.147355219624682,1.9638900000000006,0.35763942442074254,3.7956500000000006,0.0478289399840724,1.44e-06,6.633731981320922e-06,15.852199999999998,0.41899064428695804
b69d5b1d-03bd6daa,0.05,70,14676.67,4072.071509821506,73.81137,22.7515232987398,6.519999999999997,2.6645352591003757e-15,71.75219999999999,0.82227924697149,1.98853,0.7301417048080462,3.7975899999999996,0.043973422655053815,1.2e-06,5.23067873224881e-06,15.815699999999998,0.47293393830428365
b69d5b1d-03bd6daa,0.05,80,18383.56,4346.345633563902,73.93941999999998,22.008119130984365,6.519999999999997,2.6645352591003757e-15,71.91799999999998,0.9232464459720395,1.9884099999999998,0.2666647368888508,3.79353,0.04869259800010674,1.2e-06,5.230678732248809e-06,15.7883,0.4046901407249751
b69d5b1d-03bd6daa,0.05,90,26076.31,4613.781663007039,72.29006,19.671876760400874,6.519999999999997,2.6645352591003757e-15,71.83579999999999,1.0258978311703366,2.05398,0.2780240629873609,3.79365,0.04464624844261834,1.44e-06,5.699684201778201e-06,15.838499999999996,0.4371735925236109
b69d5b1d-03bd6daa,0.05,100,59042.12,7411.170829605805,74.86567,22.11403520077464,6.519999999999997,2.6645352591003757e-15,71.8218,0.974478711927562,2.2961099999999997,0.2152964883596572,3.7917199999999998,0.042992808700990905,1.9200000000000003e-06,6.511036783800256e-06,15.829599999999996,0.4061450972251173
