frame_id,bandwidth,drop,target_fps,technique,feasibility,target_cmp,target_snr,est_cmp,est_snr,pruning_thresh,quality,jpeg_F,decom_F,reg_F,opt_time
144,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.15,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.065218
145,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.25,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.079105
146,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.1,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.120643
147,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.15,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066369
148,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0,100,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.064001
149,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0.05,90,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.058689
150,8880000.000000002,0.2,5,1,-1,-1,-1,-1,-1,0.1,90,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.059361
151,8880000.000000002,0.2,5,2,-1,-1,-1,-1,-1,0.2,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.064513
152,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.05,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.047041
153,8880000.000000002,0.2,5,3,-1,-1,-1,-1,-1,0.05,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.313478
154,6000000.0,0.2,5,3,-1,-1,-1,-1,-1,0.15,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.07405
155,6000000.0,0.2,5,2,-1,-1,-1,-1,-1,0,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.059681
156,6000000.0,0.2,5,1,-1,-1,-1,-1,-1,0.2,100,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.060609
157,6000000.0,0.2,5,2,-1,-1,-1,-1,-1,0.05,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.057825
158,6000000.0,0.2,5,3,-1,-1,-1,-1,-1,0.15,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.063105
159,6000000.0,0.2,5,2,-1,-1,-1,-1,-1,0.25,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066241
160,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.25,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.051041
161,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.2,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.061026
162,8880000.000000002,0.4,5,3,-1,-1,-1,-1,-1,0.1,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.059265
163,8880000.000000002,0.4,5,3,-1,-1,-1,-1,-1,0.1,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.117122
164,8880000.000000002,0.4,5,1,-1,-1,-1,-1,-1,0.15,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.054497
165,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.1,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.276806
166,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.2,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.052641
167,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.055585
168,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.2,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.056546
169,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.055649
170,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.25,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.066754
171,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.25,100,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.06237
172,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.056449
173,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.056929
174,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0.15,70,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.059714
175,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.05,3,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.055233
176,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0.25,5,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.107202
177,6000000.0,0.4,5,2,-1,-1,-1,-1,-1,0.1,1,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.057665
178,6000000.0,0.4,5,3,-1,-1,-1,-1,-1,0,4,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.312839
179,6000000.0,0.4,5,1,-1,-1,-1,-1,-1,0,80,-1/-1/-1,-1/-1/-1,-1/-1/-1,0.06845
180,6000000.0,0.4,5,3,1,5.493841269841271,11,154.65236818588025,14.99930202960968,0.25,4,-1/-1/-1,0.14/1/13.000000000000002,0.25/4/154.65236818588025,3808.700056
214,8880000.000000002,0.4,5,3,1,3.7120549120549113,11,226.49864327204259,11.279615163803104,0.24,4,-1/-1/-1,0.24/1/13.000000000000002,0.24/4/226.49864327204259,3762.727122
220,8880000.000000002,0.2,5,2,1,3.7120549120549113,18,6.5,18.121821641921997,0.07,2,-1/-1/-1,0.07/2/6.5,-1/-1/-1,3078.053943
221,8880000.000000002,0.2,5,2,1,3.7120549120549113,18,6.5,18.784726858139038,0.05,2,-1/-1/-1,0.05/2/6.5,-1/-1/-1,3156.061366
288,3119999.9999999977,0.2,5,2,0,3.7120549120549113,18,6.5,18.784726858139038,0.05,2,-1/-1/-1,-1/-1/-1,-1/-1/-1,3465.328537
290,3119999.9999999977,0.5,5,3,1,10.565079365079374,7,272.1006289308176,9.030246436595917,0.25,4,-1/-1/-1,0.24/1/13.000000000000002,0.25/4/272.1006289308176,3683.345401
295,6000000.0,0.5,5,3,1,5.493841269841271,7,222.43701799485862,9.179307520389557,0.24,4,-1/-1/-1,0.24/1/13.000000000000002,0.24/4/222.43701799485862,3680.001618
300,6000000.0,0.4,5,3,1,5.493841269841271,11,140.01294498381878,15.019521713256836,0.25,4,-1/-1/-1,0.24/1/13.000000000000002,0.25/4/140.01294498381878,3731.180361
307,6000000.0,0.4,5,3,1,5.493841269841271,11,119.10254645560909,13.965769410133362,0.25,5,-1/-1/-1,0.24/1/13.000000000000002,0.25/5/119.10254645560909,3683.716738
308,6000000.0,0.4,5,3,1,5.493841269841271,11,112.01035598705502,18.421207070350647,0.25,1,-1/-1/-1,0.24/1/13.000000000000002,0.25/1/112.01035598705502,3690.687737
309,6000000.0,0.4,5,3,1,5.493841269841271,11,108.49905956112853,16.087666749954224,0.25,3,-1/-1/-1,0.24/1/13.000000000000002,0.25/3/108.49905956112853,3674.0308
310,6000000.0,0.4,5,3,1,5.493841269841271,11,108.49905956112853,11.736307740211487,0.25,3,-1/-1/-1,0.24/1/13.000000000000002,0.25/3/108.49905956112853,3677.484667
311,6000000.0,0.4,5,3,1,5.493841269841271,11,104.37635705669481,14.513777494430542,0.25,2,-1/-1/-1,0.24/1/13.000000000000002,0.25/2/104.37635705669481,3665.735515
