time,signal,rx bitrate, tx bitrate,mcs_number_rx,mcs_number_tx,bandwidth_tx,bandwidth_rx,connections,bitrate1 5G,bitrate2 5G
41.799231955,-39dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,4,173.6,141.4
42.210638533,-39dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,4,173.6,121.6
42.308218043,-40dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,4,173.6,121.6
42.495909404,-38dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,4,173.6,121.6
42.648209664,-37dBm,57.8_MBit/s_MCS_11_short_GI___,144.4_MBit/s_MCS_15_short_GI___,11,15,144.4,57.8,4,173.6,103.8
42.773761041,-40dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,4,173.6,156.6
42.781409632,-40dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,4,173.6,173.6
42.867342405,-42dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,4,173.6,173.6
43.479577873,-43dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,4,173.6,173.6
46.37745437,-40dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,4,173.6,141.4
47.323201761,-38dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,4,173.6,141.4
47.805827226,-35dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_14_short_GI___,13,14,130,115.6,4,156.6,141.4
47.811560783,-38dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
47.90675538,-43dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
47.91813731,-41dBm,144.4_MBit/s_MCS_15_short_GI___,130.0_MBit/s_MCS_14_short_GI___,15,14,130,144.4,4,156.6,173.6
51.867077422,-40dBm,130.0_MBit/s_MCS_14_short_GI___,130.0_MBit/s_MCS_14_short_GI___,14,14,130,130,4,156.6,156.6
52.904781587,-39dBm,117.0_MBit/s_MCS_14_____,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,117,4,173.6,156.6
58.740004286,-37dBm,57.8_MBit/s_MCS_11_short_GI___,130.0_MBit/s_MCS_14_short_GI___,11,14,130,57.8,4,156.6,103.8
59.037701117,-35dBm,86.7_MBit/s_MCS_12_short_GI___,130.0_MBit/s_MCS_14_short_GI___,12,14,130,86.7,4,156.6,121.6
60.233187751,-36dBm,57.8_MBit/s_MCS_11_short_GI___,144.4_MBit/s_MCS_15_short_GI___,11,15,144.4,57.8,4,173.6,103.8
61.315266769,-37dBm,78.0_MBit/s_MCS_12_____,130.0_MBit/s_MCS_14_short_GI___,12,14,130,78,4,156.6,121.6
61.396654114,-41dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
62.251842668,-36dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
62.386007494,-37dBm,72.2_MBit/s_MCS_7_short_GI___,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,72.2,4,173.6,46.1
62.390502665,-36dBm,72.2_MBit/s_MCS_7_short_GI___,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,72.2,4,173.6,46.1
62.401610166,-35dBm,65.0_MBit/s_MCS_6_short_GI___,144.4_MBit/s_MCS_15_short_GI___,6,15,144.4,65,4,173.6,36.7
62.419614989,-36dBm,65.0_MBit/s_MCS_6_short_GI___,144.4_MBit/s_MCS_15_short_GI___,6,15,144.4,65,4,173.6,36.7
62.509852795,-35dBm,57.8_MBit/s_MCS_5_short_GI___,144.4_MBit/s_MCS_15_short_GI___,5,15,144.4,57.8,4,173.6,27.4
62.588295265,-34dBm,57.8_MBit/s_MCS_5_short_GI___,144.4_MBit/s_MCS_15_short_GI___,5,15,144.4,57.8,4,173.6,27.4
62.66108162,-36dBm,57.8_MBit/s_MCS_5_short_GI___,144.4_MBit/s_MCS_15_short_GI___,5,15,144.4,57.8,4,173.6,27.4
62.686920846,-35dBm,43.3_MBit/s_MCS_4_short_GI___,144.4_MBit/s_MCS_15_short_GI___,4,15,144.4,43.3,4,173.6,18.8
62.80999903,-37dBm,65.0_MBit/s_MCS_6_short_GI___,144.4_MBit/s_MCS_15_short_GI___,6,15,144.4,65,4,173.6,36.7
62.841250949,-35dBm,57.8_MBit/s_MCS_5_short_GI___,130.0_MBit/s_MCS_14_short_GI___,5,14,130,57.8,4,156.6,27.4
62.844819855,-35dBm,65.0_MBit/s_MCS_6_short_GI___,130.0_MBit/s_MCS_14_short_GI___,6,14,130,65,4,156.6,36.7
63.342366076,-40dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
63.38254748,-43dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
63.755908672,-34dBm,65.0_MBit/s_MCS_6_short_GI___,130.0_MBit/s_MCS_14_short_GI___,6,14,130,65,4,156.6,36.7
63.759723228,-35dBm,72.2_MBit/s_MCS_7_short_GI___,130.0_MBit/s_MCS_14_short_GI___,7,14,130,72.2,4,156.6,46.1
65.159644732,-34dBm,57.8_MBit/s_MCS_5_short_GI___,130.0_MBit/s_MCS_14_short_GI___,5,14,130,57.8,4,156.6,27.4
65.441210149,-35dBm,78.0_MBit/s_MCS_12_____,130.0_MBit/s_MCS_14_short_GI___,12,14,130,78,4,156.6,121.6
65.510345647,-35dBm,57.8_MBit/s_MCS_11_short_GI___,130.0_MBit/s_MCS_14_short_GI___,11,14,130,57.8,4,156.6,103.8
65.660870938,-36dBm,43.3_MBit/s_MCS_10_short_GI___,130.0_MBit/s_MCS_14_short_GI___,10,14,130,43.3,4,156.6,85.3
65.865493497,-35dBm,43.3_MBit/s_MCS_10_short_GI___,130.0_MBit/s_MCS_14_short_GI___,10,14,130,43.3,4,156.6,85.3
70.269319819,-34dBm,115.6_MBit/s_MCS_13_short_GI___,130.0_MBit/s_MCS_14_short_GI___,13,14,130,115.6,4,156.6,141.4
74.944534813,-34dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,4,173.6,141.4
76.426689773,-34dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,4,173.6,121.6
86.779354137,-35dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,4,173.6,173.6
86.975262189,-35dBm,52.0_MBit/s_MCS_5_____,144.4_MBit/s_MCS_15_short_GI___,5,15,144.4,52,4,173.6,27.4
87.23956124,-34dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,4,173.6,156.6
87.836782315,-35dBm,115.6_MBit/s_MCS_13_short_GI___,115.6_MBit/s_MCS_13_short_GI___,13,13,115.6,115.6,4,141.4,141.4
87.852461347,-34dBm,115.6_MBit/s_MCS_13_short_GI___,115.6_MBit/s_MCS_13_short_GI___,13,13,115.6,115.6,4,141.4,141.4
